nombre,direccion,telefono,instagram,facebook
Taller Mitsuma,"Cra. 44A #3936, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+576045173768,https://instagram.com/tallerautoptimos?utm_medium=copy_link,
Taller Mitsuma,"Cra. 44A #3936, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+576045173768,https://instagram.com/tallerautoptimos?utm_medium=copy_link,
Taller De Mecanica Automotriz,"Cra. 44, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",,https://instagram.com/tallerautoptimos?utm_medium=copy_link,
Banco de Prueba Rivaree,"Cra. 46 #35-29, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+573104269932,https://www.instagram.com/taller.rivaree/,https://www.facebook.com/p/Banco-de-Prueba-Taller-Rivaree-100070159728115/
Banco de Prueba Rivaree,"Cra. 46 #35-29, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+573104269932,https://www.instagram.com/taller.rivaree/,https://www.facebook.com/p/Banco-de-Prueba-Taller-Rivaree-100070159728115/
Taller Carlos Mario Londoño,"Cl. 43a #65-76, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",'+572302302,https://instagram.com/tallerautoptimos?utm_medium=copy_link,
Taller Carlos Mario Londoño,"Cl. 43a #65-76, Laureles - Estadio, Medellín, Laureles, Medellín, Antioquia",'+572302302,https://instagram.com/tallerautoptimos?utm_medium=copy_link,
Taller Autóptimo,"Calle 32c 65a 28 Belén, Medellín, Antioquia",'+573017529893,https://www.instagram.com/tecnicentroloscolores/?hl=es,https://m.facebook.com/story.php?story_fbid=230269935456644&id=109117590905213
Taller Molina,"Cra. 65A #32d110, Medellín, Belén, Medellín, Antioquia",'+5745909147,https://instagram.com/tallerautoptimos?utm_medium=copy_link,
Taller Molina,"Cra. 65A #32d110, Medellín, Belén, Medellín, Antioquia",'+5745909147,https://instagram.com/tallerautoptimos?utm_medium=copy_link,
Taller Autos y Latas,"Av. Ayacucho #5795, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",,https://instagram.com/tallerautoptimos?utm_medium=copy_link,https://www.facebook.com/autolatasmedellin/?locale=es_LA
Hangarautos s.a.s Medellin,"Cl. 30 # 44-128, La Candelaria, Medellín, La Candelaria, Medellín, Antioquia",'+573218310037,https://instagram.com/tallerautoptimos?utm_medium=copy_link,
